id,name,alias
31,Phòng Tuyển dụng và Đào tạo,"tuyển dụng, tuyển dụng và đào tạo, tuyển dụng & đào tạo, tuyển dụng and đào tạo, TD&ĐT, TD và đào tạo, tuyển dụng và ĐT, phòng TD&ĐT, phòng ban tuyển dụng và đào tạo, phong ban tuyen dung va dao tao"
30,Phòng Creative,"creative, phòng creative, phòng ban creative, phong ban creative"
18,Phòng Pháp chế,"pháp chế, phòng pháp chế, phòng ban pháp chế, phong ban phap che"
17,Phòng Marketing,"market, marketing, phòng marketing, phòng ban marketing, phong ban marketing"
16,Phòng Funzy,"funzy, phòng funzy, phòng ban funzy, phong ban funzy"
15,Phòng Fbang,"fbang, phòng fbang, phòng ban fbang, dự án fbang, phong ban du an fbang"
14,Phòng Chăm sóc khách hàng,"chăm sóc khách hàng, phòng chăm sóc khách hàng, cskh, phòng cskh, phong cham soc khach hang"
13,Phòng Blockchain,"blockchain, phòng blockchain, phòng ban blockchain, phong ban blockchain"
12,Phòng R&D," R and D, R&D, research and develop, research & develop, phòng R&D, phòng ban R&D, phong ban R&D"
11,Phòng QA,"qa, quality assurance, đảm bảo chất lượng, phòng QA, phòng ban QA, phong ban qa"
10,Phòng Kế toán,"kế toán, account, accounting, phòng kế toán, phòng ban kế toán, phong ban ke toan"
8,Phòng IS,"IS, phòng IS, phòng ban IS, phong ban IS"
7,Trung tâm AI,"AI Center, trung tâm AI, trung tâm trí tuệ nhân tạo, trung tam AI, trung tam tri tue nhan tao"
6,Phòng Hành chính nhân sự,"HCNS, hành chính nhân sự, phòng HCNS, phòng hành chính nhân sự, phòng ban HCNS, phòng ban hành chính nhân sự, phong ban hanh chinh nhan su"
5,Phòng Platform,"platform, phòng platform, phòng ban platform, phong ban platform"
4,Phòng Game,"game, phòng game, phòng ban game, phong ban game"
3,Phòng Product,"product, sản phẩm, phòng product, phòng ban product, phong ban product"
2,Phòng Application,"application, ứng dụng, phòng application, phòng ban application, phong ban application"
1,Team BOD,"bod, ban lãnh đạo, ban lanh dao"
0,None,None
