start_id,end_id,role,alias
482,4,Nhân viên,"nhân viên, nhan vien"
389,12,Nhân viên,"nhân viên, nhan vien"
388,8,Nhân viên,"nhân viên, nhan vien"
387,8,Nhân viên,"nhân viên, nhan vien"
386,7,Nhân viên,"nhân viên, nhan vien"
385,2,Nhân viên,"nhân viên, nhan vien"
384,4,Nhân viên,"nhân viên, nhan vien"
383,13,Nhân viên,"nhân viên, nhan vien"
382,13,Nhân viên,"nhân viên, nhan vien"
381,7,Nhân viên,"nhân viên, nhan vien"
380,7,Nhân viên,"nhân viên, nhan vien"
379,7,Nhân viên,"nhân viên, nhan vien"
378,13,Nhân viên,"nhân viên, nhan vien"
377,3,Nhân viên,"nhân viên, nhan vien"
376,13,Nhân viên,"nhân viên, nhan vien"
375,7,Nhân viên,"nhân viên, nhan vien"
374,4,Nhân viên,"nhân viên, nhan vien"
373,13,Nhân viên,"nhân viên, nhan vien"
372,14,Trưởng phòng,"trưởng phòng, truong phong"
371,8,Nhân viên,"nhân viên, nhan vien"
370,3,Nhân viên,"nhân viên, nhan vien"
369,3,Nhân viên,"nhân viên, nhan vien"
368,4,Nhân viên,"nhân viên, nhan vien"
367,3,Nhân viên,"nhân viên, nhan vien"
366,7,Nhân viên,"nhân viên, nhan vien"
365,31,Nhân viên,"nhân viên, nhan vien"
364,2,Nhân viên,"nhân viên, nhan vien"
363,10,Nhân viên,"nhân viên, nhan vien"
362,2,Nhân viên,"nhân viên, nhan vien"
361,8,Nhân viên,"nhân viên, nhan vien"
360,3,Nhân viên,"nhân viên, nhan vien"
357,16,Nhân viên,"nhân viên, nhan vien"
356,3,Nhân viên,"nhân viên, nhan vien"
355,3,Nhân viên,"nhân viên, nhan vien"
354,13,Nhân viên,"nhân viên, nhan vien"
353,7,Nhân viên,"nhân viên, nhan vien"
352,16,Nhân viên,"nhân viên, nhan vien"
351,5,Nhân viên,"nhân viên, nhan vien"
350,3,Nhân viên,"nhân viên, nhan vien"
349,4,Nhân viên,"nhân viên, nhan vien"
348,3,Nhân viên,"nhân viên, nhan vien"
347,4,Nhân viên,"nhân viên, nhan vien"
346,13,Nhân viên,"nhân viên, nhan vien"
345,13,Nhân viên,"nhân viên, nhan vien"
344,6,Nhân viên,"nhân viên, nhan vien"
343,4,Nhân viên,"nhân viên, nhan vien"
342,3,Nhân viên,"nhân viên, nhan vien"
341,5,Nhân viên,"nhân viên, nhan vien"
340,13,Nhân viên,"nhân viên, nhan vien"
339,31,Nhân viên,"nhân viên, nhan vien"
338,2,Nhân viên,"nhân viên, nhan vien"
337,5,Nhân viên,"nhân viên, nhan vien"
336,2,Nhân viên,"nhân viên, nhan vien"
335,31,Nhân viên,"nhân viên, nhan vien"
334,4,Nhân viên,"nhân viên, nhan vien"
333,31,Nhân viên,"nhân viên, nhan vien"
332,17,Nhân viên,"nhân viên, nhan vien"
331,4,Nhân viên,"nhân viên, nhan vien"
330,7,Nhân viên,"nhân viên, nhan vien"
329,7,Nhân viên,"nhân viên, nhan vien"
328,7,Nhân viên,"nhân viên, nhan vien"
327,7,Nhân viên,"nhân viên, nhan vien"
326,7,Nhân viên,"nhân viên, nhan vien"
325,17,Nhân viên,"nhân viên, nhan vien"
324,30,Nhân viên,"nhân viên, nhan vien"
323,7,Nhân viên,"nhân viên, nhan vien"
322,16,Nhân viên,"nhân viên, nhan vien"
321,16,Nhân viên,"nhân viên, nhan vien"
319,3,Nhân viên,"nhân viên, nhan vien"
318,4,Nhân viên,"nhân viên, nhan vien"
317,3,Nhân viên,"nhân viên, nhan vien"
315,8,Nhân viên,"nhân viên, nhan vien"
314,3,Nhân viên,"nhân viên, nhan vien"
312,2,Nhân viên,"nhân viên, nhan vien"
311,2,Nhân viên,"nhân viên, nhan vien"
310,2,Nhân viên,"nhân viên, nhan vien"
307,11,Nhân viên,"nhân viên, nhan vien"
306,31,Nhân viên,"nhân viên, nhan vien"
305,16,Nhân viên,"nhân viên, nhan vien"
304,4,Nhân viên,"nhân viên, nhan vien"
303,31,Nhân viên,"nhân viên, nhan vien"
302,5,Nhân viên,"nhân viên, nhan vien"
301,8,Nhân viên,"nhân viên, nhan vien"
300,4,Nhân viên,"nhân viên, nhan vien"
299,4,Nhân viên,"nhân viên, nhan vien"
297,7,Nhân viên,"nhân viên, nhan vien"
296,7,Nhân viên,"nhân viên, nhan vien"
295,5,Nhân viên,"nhân viên, nhan vien"
294,30,Nhân viên,"nhân viên, nhan vien"
293,4,Nhân viên,"nhân viên, nhan vien"
292,4,Nhân viên,"nhân viên, nhan vien"
291,13,Nhân viên,"nhân viên, nhan vien"
290,7,Nhân viên,"nhân viên, nhan vien"
288,7,Nhân viên,"nhân viên, nhan vien"
287,13,Nhân viên,"nhân viên, nhan vien"
286,13,Nhân viên,"nhân viên, nhan vien"
284,3,Nhân viên,"nhân viên, nhan vien"
283,2,Nhân viên,"nhân viên, nhan vien"
282,2,Nhân viên,"nhân viên, nhan vien"
281,5,Nhân viên,"nhân viên, nhan vien"
280,4,Nhân viên,"nhân viên, nhan vien"
279,31,Trưởng phòng,"trưởng phòng, truong phong"
278,4,Nhân viên,"nhân viên, nhan vien"
277,7,Nhân viên,"nhân viên, nhan vien"
276,16,Nhân viên,"nhân viên, nhan vien"
275,3,Nhân viên,"nhân viên, nhan vien"
274,13,Nhân viên,"nhân viên, nhan vien"
273,2,Nhân viên,"nhân viên, nhan vien"
272,7,Nhân viên,"nhân viên, nhan vien"
270,2,Nhân viên,"nhân viên, nhan vien"
269,3,Nhân viên,"nhân viên, nhan vien"
268,16,Nhân viên,"nhân viên, nhan vien"
267,16,Nhân viên,"nhân viên, nhan vien"
266,3,Nhân viên,"nhân viên, nhan vien"
264,4,Nhân viên,"nhân viên, nhan vien"
263,4,Nhân viên,"nhân viên, nhan vien"
262,7,Nhân viên,"nhân viên, nhan vien"
261,7,Nhân viên,"nhân viên, nhan vien"
260,15,Nhân viên,"nhân viên, nhan vien"
257,6,Nhân viên,"nhân viên, nhan vien"
256,6,Nhân viên,"nhân viên, nhan vien"
255,16,Nhân viên,"nhân viên, nhan vien"
254,3,Nhân viên,"nhân viên, nhan vien"
253,7,Nhân viên,"nhân viên, nhan vien"
252,16,Nhân viên,"nhân viên, nhan vien"
250,3,Nhân viên,"nhân viên, nhan vien"
249,2,Nhân viên,"nhân viên, nhan vien"
248,7,Nhân viên,"nhân viên, nhan vien"
245,17,Nhân viên,"nhân viên, nhan vien"
244,6,Nhân viên,"nhân viên, nhan vien"
243,2,Nhân viên,"nhân viên, nhan vien"
241,13,Nhân viên,"nhân viên, nhan vien"
240,15,Nhân viên,"nhân viên, nhan vien"
238,15,Nhân viên,"nhân viên, nhan vien"
237,16,Nhân viên,"nhân viên, nhan vien"
235,2,Nhân viên,"nhân viên, nhan vien"
234,7,Nhân viên,"nhân viên, nhan vien"
233,16,Nhân viên,"nhân viên, nhan vien"
232,17,Nhân viên,"nhân viên, nhan vien"
231,17,Nhân viên,"nhân viên, nhan vien"
230,4,Nhân viên,"nhân viên, nhan vien"
227,4,Nhân viên,"nhân viên, nhan vien"
226,11,Nhân viên,"nhân viên, nhan vien"
225,31,Nhân viên,"nhân viên, nhan vien"
224,17,Nhân viên,"nhân viên, nhan vien"
223,5,Nhân viên,"nhân viên, nhan vien"
222,3,Nhân viên,"nhân viên, nhan vien"
221,5,Nhân viên,"nhân viên, nhan vien"
220,7,Nhân viên,"nhân viên, nhan vien"
219,4,Nhân viên,"nhân viên, nhan vien"
217,3,Nhân viên,"nhân viên, nhan vien"
216,3,Nhân viên,"nhân viên, nhan vien"
215,10,Nhân viên,"nhân viên, nhan vien"
214,7,Nhân viên,"nhân viên, nhan vien"
213,16,Nhân viên,"nhân viên, nhan vien"
212,16,Nhân viên,"nhân viên, nhan vien"
210,6,Nhân viên,"nhân viên, nhan vien"
209,15,Nhân viên,"nhân viên, nhan vien"
208,4,Nhân viên,"nhân viên, nhan vien"
