start_id,end_id,role,alias
482,1,Nhân viên,"nhân viên, nhan vien"
389,1,Business,"business, business"
388,1,Research,"research, research"
387,1,Developer,"developer, developer"
386,1,Computer Vision Engineer,"computer vision engineer, computer vision engineer"
385,1,iOS Developer,"ios developer, ios developer"
384,1,3D Artist,"3d artist, 3d artist"
383,1,Fullstack Developer,"fullstack developer, fullstack developer"
382,1,Fullstack Developer,"fullstack developer, fullstack developer"
381,1,Fullstack Developer,"fullstack developer, fullstack developer"
380,1,Computer Vision Engineer,"computer vision engineer, computer vision engineer"
379,1,Computer Vision Engineer,"computer vision engineer, computer vision engineer"
378,1,Content Creator Blockchain,"content creator blockchain, content creator blockchain"
377,1,Nhân viên Biên soạn nội dung Giáo dục,"nhân viên biên soạn nội dung giáo dục, nhan vien bien soan noi dung giao duc"
376,1,Product Design,"product design, product design"
375,1,Computer Vision Engineer,"computer vision engineer, computer vision engineer"
374,1,2D Animator,"2d animator, 2d animator"
373,1,Fullstack Developer,"fullstack developer, fullstack developer"
372,1,Trưởng Phòng chăm sóc khách hàng (CSKH) (Hà Nội),"trưởng phòng chăm sóc khách hàng (cskh) (hà nội), truong phong cham soc khach hang (cskh) (ha noi)"
371,1,Pentest,"pentest, pentest"
370,1,Business Analyst,"business analyst, business analyst"
369,1,Nhân viên Biên soạn nội dung Giáo dục,"nhân viên biên soạn nội dung giáo dục, nhan vien bien soan noi dung giao duc"
368,1,3D Animator,"3d animator, 3d animator"
367,1,Nhân viên Biên soạn nội dung Giáo dục,"nhân viên biên soạn nội dung giáo dục, nhan vien bien soan noi dung giao duc"
366,1,NLP Engineer,"nlp engineer, nlp engineer"
365,1,Chuyên viên Tuyển dụng,"chuyên viên tuyển dụng, chuyen vien tuyen dung"
364,1,iOS Developer,"ios developer, ios developer"
363,1,Kế toán tổng hợp,"kế toán tổng hợp, ke toan tong hop"
362,1,iOS Developer,"ios developer, ios developer"
361,1,System Admin,"system admin, system admin"
360,1,Digital Artist,"digital artist, digital artist"
357,1,Graphic Design,"graphic design, graphic design"
356,1,Content Creative,"content creative, content creative"
355,1,Content Creative,"content creative, content creative"
354,1,Graphic Design,"graphic design, graphic design"
353,1,NLP Engineer,"nlp engineer, nlp engineer"
352,1,Game Content,"game content, game content"
351,1,Java Developer,"java developer, java developer"
350,1,Business Analyst,"business analyst, business analyst"
